CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,activity_date,year,month,location_order,location_name
Specific conductance,NA,779,uS/cm,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Total dissolved solids,Total,755,mg/L,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sulfate,Dissolved,575,mg/L,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,947,uS/cm,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.19,None,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,773,uS/cm,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,NA,7.78,None,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Magnesium,Total Recoverable,50.2,mg/L,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Bicarbonate,Total,346,mg/L,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of anions,Total,22.77,meq/L,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Iron,Total Recoverable,0.104,mg/L,9/5/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Calcium,Total Recoverable,69,mg/L,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
"Hardness, carbonate",Total,350,mg/L,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Selenium,Total Recoverable,NA,NA,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.31,None,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Chloride,Dissolved,92.8,mg/L,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Cations-Anions,Total,2.41,%,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,8.34,None,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Sodium,Total Recoverable,275,mg/L,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Sodium,Total Recoverable,42,%,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,613,uS/cm,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,770,uS/cm,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Specific conductance,NA,772,uS/cm,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
pH,Total,8.03,None,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,Total,8.12,None,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Sum of cations,Total,21.88,meq/L,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,1093,uS/cm,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Aluminum,Total Recoverable,71,ug/L,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
"Alkalinity, total",Total,175,mg/L,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,2048,uS/cm,9/17/2013,2013,9,21NDHDWQ_WQX-381171,Lake Ashtabula
Manganese,Total Recoverable,1.48,mg/L,8/5/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.83,None,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
Sodium,Total Recoverable,48,%,8/19/2013,2013,8,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.92,None,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Bicarbonate,Total,285,mg/L,6/11/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
Specific conductance,NA,630,uS/cm,5/28/2013,2013,5,21NDHDWQ_WQX-381171,Lake Ashtabula
Magnesium,Total Recoverable,53.5,mg/L,7/22/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
Conductivity,Total,1050,umho/cm,7/8/2013,2013,7,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.77,None,9/12/2013,2013,9,21NDHDWQ_WQX-382003,Lake Sakakawea
Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],Total Recoverable,2.2,None,6/27/2013,2013,6,21NDHDWQ_WQX-381171,Lake Ashtabula
pH,NA,7.82,None,8/16/2013,2013,8,21NDHDWQ_WQX-382003,Lake Sakakawea
